sp,pot)number,n_bag,mg
Heps,148,5,1808
Cryp,326,5,1281
Hesp,317,8,1798
Cryp,10,3,119
Cryp,56,1,880
Hesp,187,,1260
Hesp,3,10,1764
Hesp,10,7,1711
Cryp,271,8,1021
Cryp,3,2,55
Hesp,272,13,1779
Hesp,320,4,1423
Hesp,104,4,1478
Hesp,138,6,1317
Cryp,15,1,15
Cryp,104,2,169
Hesp,15,6,1567
Cryp,100,1,36
Hesp,232,8,987
Hesp,100,7,1098
Hesp,13,10,1245
Cryp,141,2,821
Hesp,330,4,1987
Hesp,324,2,1173
Cryp,324,3,237
Hesp,283,10,1498
Cryp,283,4,109
Hesp,280,7,2135
Cryp,280,4(3),128
Cryp,276,12(13),1028
Cryp,101,1,1137
Hesp,194,4,524
Cryp,194,6,126
Hesp,55,4,847
Cryp,55,1,19
Hesp,9,4,1699
Cryp,9,1,39
Hesp,98,8(9),865
Cryp,98,1,9
Hesp,325,4,2088
Cryp,325,3,167
Hesp,50,4,572
Cryp,1,2,1068
Hesp,227,8,1854
Cryp,50,1,45
Hesp,92,13,2227
Hesp,54,2,1280
Hesp,145,3,859
Hesp,8,10,1462
Cryp,8,2,33
Cryp,190,4,76
Hesp,190,8,984
Cryp,145,1,18
Cryp,6,4,1148
Cryp,11,2,1085
Hesp,12,13,2109
Cryp,181,8,923
Cryp,191,12(11),1019
Hesp,140,5,992
Cryp,143,1,51
Hesp,238,6,1781
Hesp,5,6,1748
Hesp,150,3,1030
Cryp,5,2,37
Hesp,99,4,1382
Hesp,143,6,1904
Hesp,322,8,2572
Cryp,140,1,52
Cryp,238,1,61
Cryp,329,6,685
Hesp,329,2,972
Cryp,136,1,791
Hesp,57,8,1847
Hesp,60,4,2076
Hesp,102,14,1558
Hesp,278,9,1762
Cryp,321,5,1308
Hesp,192,,1466
Cryp,231,8,1025
Hesp,319,2,1209
Cryp,278,4,198
Cryp,319,5,370
Hesp,2,12,1986
Hesp,7,14,1983
Hesp,105,,1928
Hesp,52,7,1944
Hesp,237,7,1009
Hesp,93,10,2091
Hesp,282,,2463
Hesp,277,15,2188
Hesp,182,13,1872
Hesp,97,13,1613
Hesp,285,7,1615
Cryp,285,5,305
Hesp,235,4,1571
Cryp,235,2,113
Hesp,188,8(9),790
Cryp,188,2,97
Cryp,46,2,1172
Hesp ,136,8,1632
Cryp,189,4,249
Hesp,189,4,902
Cryp,316,5,1000
Cryp,51,1,715
Hesp,47,8,1732
Cryp,96,1,936
Cryp,240,2,112
Hesp,240,4,1016
Cryp,159,2,1202
Cryp,249,5,1098
Cryp,186,4,1773
Hesp,149,1,771
Cryp,149,1,62
Hesp,237,8,2109
Cryp,29,3,526
Cryp,139,1,24
Hesp,49,2,694
Cryp,49,3,175
Hesp,139,2,1075
Hesp,48,6,1318
Hesp ,185,6,2424
Cryp,185,5,220
Cryp,91,2,1543
Hesp,144,2,1096
Hesp,4,4,1405
Cryp,4,4,247
Hesp ,14,4,1041
Cryp,14,1,21
Cryp,341,5,873
Hesp,147,8,1320
Cryp,144,2,87
Cryp,106,5,1124
Cryp,233,1,18
Cryp,184,6,319
Hesp,184,3,1047
Hesp,279,4,1421
Cryp,279,4,388
Cryp,241,4,1372
Cryp,26,3,1076
Hesp,233,6,1071
Hesp,193,9,1583
Cryp,294,8,621
Cryp,193,5(4),181
Cryp,338,2,775
Cryp,59,1,81
Cryp,103,1,20
Hesp,103,8(7),1253
Hesp,318,5,1755
Cryp,201,10,1016
Cryp,58,1,32
Hesp,59,2,1718
Cryp,239,4,212
Hesp,239,2,606
Cryp,275,7,235
Hesp,273,10,1304
Hesp,328,6,1951
Hesp,274,4,652
Hesp,288,6(7),1504
Hesp,195,5,1701
Hesp,284,4,1349
Cryp,195,5,370
Cryp,284,8,453
Cryp,328,1,53
Cryp,234,6,418
Hesp,275,7,973
Hesp,234,2,731
Hesp,230,4,1062
Cryp,288,2,140
Cryp,274,9,401
Hesp,170,14,1411
Cryp,230,3,121
Cryp,318,1,34
Hesp,94,4,1266
Cryp,273,4,125
Cryp,94,2,71
Hesp,58,6,2341
Cryp,95,1,51
Cryp,281,9,1719
Hesp,183,16,3312
Hesp,323,6,1551
Hesp,95,7,1734
Cryp,266,7,1054
Hesp,142,8,1580
Cryp,236,6,1016
Hesp,53,6,1154
Cryp,183,3,118
Cryp,323,1,29
