"potnumber","strat","n_Cc","MGT_Cc","MG_Cc","n_Hm","MGT_Hm","MG_Hm","priority","type"
1,6,2,8.5,1068,0,NA,NA,NA,"single species"
3,6,2,8.5,55,10,2.000001,1764,6.499999,"competition"
4,6,5,7.2,247,4,2.2500025,1405,4.9499975,"competition"
5,6,2,12.5,37,6,3,1748,9.5,"competition"
6,6,4,8,1148,0,NA,NA,NA,"single species"
8,6,2,8,33,10,2.7,1462,5.3,"competition"
9,6,1,10,39,4,3,1699,7,"competition"
10,6,3,6.33333333333333,119,7,2.57142857142857,1711,3.76190476190476,"competition"
11,6,2,7,1085,0,NA,NA,NA,"single species"
14,6,1,8,21,4,3.25,NA,4.75,"competition"
15,6,1,11,15,6,3,1567,8,"competition"
46,6,2,7,1172,0,NA,NA,NA,"single species"
49,6,3,6.66666666666667,175,2,3,694,3.66666666666667,"competition"
50,6,1,8,45,4,3,572,5,"competition"
51,6,1,6,715,0,NA,NA,NA,"single species"
55,6,1,7,19,4,3,847,4,"competition"
56,6,1,7,880,0,NA,NA,NA,"single species"
58,6,1,9,32,6,2.50000166666667,2341,6.49999833333333,"competition"
59,6,1,9,81,2,3,1718,6,"competition"
91,6,2,9.5,1543,0,NA,NA,NA,"single species"
94,6,2,9,71,4,3.25,1266,5.75,"competition"
95,6,1,7,51,7,3.85714285714286,1734,3.14285714285714,"competition"
96,6,1,9,936,0,NA,NA,NA,"single species"
98,6,1,10,9,9,2.44444444444444,865,7.55555555555556,"competition"
100,6,1,7,36,7,3.14285714285714,1098,3.85714285714286,"competition"
101,6,1,7,1137,0,NA,NA,NA,"single species"
103,6,1,6,20,8,6.375,1253,-0.375,"competition"
104,6,2,6.5,169,4,3,1478,3.5,"competition"
136,6,1,11,791,0,NA,NA,NA,"single species"
139,6,1,12,24,2,3.5,1075,8.5,"competition"
140,6,1,8,52,5,2.6,992,5.4,"competition"
141,6,2,6,821,0,NA,NA,NA,"single species"
143,6,1,7,51,6,2.66666666666667,1904,4.33333333333333,"competition"
144,6,2,9,87,2,2.5,1096,6.5,"competition"
145,6,1,7,18,3,3,859,4,"competition"
148,6,1,2,NA,6,3.33333333333333,NA,-1.33333333333333,"competition"
181,12,8,4.875,923,0,NA,NA,NA,"single species"
183,12,3,5.66666666666667,118,10,1.9,3312,3.76666666666667,"competition"
184,12,6,4,319,4,2.25,1047,1.75,"competition"
185,12,5,6,220,6,2,NA,4,"competition"
186,12,4,6.75,1773,0,NA,NA,NA,"single species"
188,12,2,2,97,10,2.600001,790,-0.600001,"competition"
189,12,4,5.5,249,4,3,902,2.5,"competition"
190,12,4,7.75,76,7,2.28571428571429,984,5.46428571428571,"competition"
191,12,11,4.18181909090909,1019,0,NA,NA,NA,"single species"
