"","sp","potnumber","strat","n_Cc","MGT_Cc","MG_Cc","n_Hm","MGT_Hm","MG_Hm","priority","Cc_percap","Hm_percap","type","priority2"
"1",NA,1,6,2,8.5,1068,0,NA,NA,NA,534,NA,"single species",0
"2",NA,3,6,2,8.5,55,10,2.000001,1764,6.499999,27.5,176.4,"competition",6.499999
"3",NA,4,6,5,7.2,247,4,2.2500025,1405,4.9499975,49.4,351.25,"competition",4.9499975
"4",NA,5,6,2,12.5,37,6,3,1748,9.5,18.5,291.333333333333,"competition",9.5
"5",NA,6,6,4,8,1148,0,NA,NA,NA,287,NA,"single species",0
"6",NA,8,6,2,8,33,10,2.7,1462,5.3,16.5,146.2,"competition",5.3
"7",NA,9,6,1,10,39,4,3,1699,7,39,424.75,"competition",7
"8",NA,10,6,3,6.33333333333333,119,7,2.57142857142857,1711,3.76190476190476,39.6666666666667,244.428571428571,"competition",3.76190476190476
"9",NA,11,6,2,7,1085,0,NA,NA,NA,542.5,NA,"single species",0
"10",NA,14,6,1,8,21,4,3.25,NA,4.75,21,NA,"competition",4.75
"11",NA,15,6,1,11,15,6,3,1567,8,15,261.166666666667,"competition",8
"12",NA,46,6,2,7,1172,0,NA,NA,NA,586,NA,"single species",0
"13",NA,49,6,3,6.66666666666667,175,2,3,694,3.66666666666667,58.3333333333333,347,"competition",3.66666666666667
"14",NA,50,6,1,8,45,4,3,572,5,45,143,"competition",5
"15",NA,51,6,1,6,715,0,NA,NA,NA,715,NA,"single species",0
"16",NA,55,6,1,7,19,4,3,847,4,19,211.75,"competition",4
"17",NA,56,6,1,7,880,0,NA,NA,NA,880,NA,"single species",0
"18",NA,58,6,1,9,32,6,2.50000166666667,2341,6.49999833333333,32,390.166666666667,"competition",6.49999833333333
"19",NA,59,6,1,9,81,2,3,1718,6,81,859,"competition",6
"20",NA,91,6,2,9.5,1543,0,NA,NA,NA,771.5,NA,"single species",0
"21",NA,94,6,2,9,71,4,3.25,1266,5.75,35.5,316.5,"competition",5.75
"22",NA,95,6,1,7,51,7,3.85714285714286,1734,3.14285714285714,51,247.714285714286,"competition",3.14285714285714
"23",NA,96,6,1,9,936,0,NA,NA,NA,936,NA,"single species",0
"24",NA,98,6,1,10,9,9,2.44444444444444,865,7.55555555555556,9,96.1111111111111,"competition",7.55555555555556
"25",NA,100,6,1,7,36,7,3.14285714285714,1098,3.85714285714286,36,156.857142857143,"competition",3.85714285714286
"26",NA,101,6,1,7,1137,0,NA,NA,NA,1137,NA,"single species",0
"27",NA,103,6,1,6,20,8,6.375,1253,-0.375,20,156.625,"competition",-0.375
"28",NA,104,6,2,6.5,169,4,3,1478,3.5,84.5,369.5,"competition",3.5
"29",NA,136,6,1,11,791,0,NA,NA,NA,791,NA,"single species",0
"30",NA,139,6,1,12,24,2,3.5,1075,8.5,24,537.5,"competition",8.5
"31",NA,140,6,1,8,52,5,2.6,992,5.4,52,198.4,"competition",5.4
"32",NA,141,6,2,6,821,0,NA,NA,NA,410.5,NA,"single species",0
"33",NA,143,6,1,7,51,6,2.66666666666667,1904,4.33333333333333,51,317.333333333333,"competition",4.33333333333333
"34",NA,144,6,2,9,87,2,2.5,1096,6.5,43.5,548,"competition",6.5
"35",NA,145,6,1,7,18,3,3,859,4,18,286.333333333333,"competition",4
