ï»¿ID,strat,inc,replicate,comp_type,pot_type,rowcol,row,col,seed,taxa,potnumber,12/4/19,12/6/19,12/8/19,12/9/19,12/10/19,12/11/19,12/12/19,12/13/19,12/15/19,12/16/19,12/17/19,12/18/19,12/19/19,12/20/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/29/19,12/30/19,31-Dec-19,1-Jan-20,3-Jan-20,5-Jan-20,6-Jan-20,7-Jan-20,8-Jan-20,9-Jan-20,10-Jan-20,12-Jan-20,13-Jan-20,14-Jan-20,1/15/20,1/16/20,1/17/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/26/20,1/27/20,1/29/20
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,a.1,a,1,0,H.matronalis,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,a.3,a,3,1,C.canadensis,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,a.5,a,5,0,H.matronalis,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,b.2,b,2,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,b.4,b,4,0,H.matronalis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,b.6,b,6,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,c.2,c,2,1,C.canadensis,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,c.4,c,4,1,C.canadensis,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,c.5,c,5,0,H.matronalis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,d.1,d,1,1,C.canadensis,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,d.2,d,2,1,C.canadensis,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,d.3,d,3,0,H.matronalis,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,d.6,d,6,0,H.matronalis,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,e.1,e,1,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,e.3,e,3,0,H.matronalis,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,e.5,e,5,0,H.matronalis,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,f.2,f,2,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,f.4,f,4,0,H.matronalis,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,f.6,f,6,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,g.3,g,3,0,H.matronalis,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_1_Cc.Hm,6,M,1,inter,Cc.Hm,g.5,g,5,1,C.canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,a.2,a,2,0,H.matronalis,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,a.4,a,4,1,C.canadensis,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,a.5,a,5,0,H.matronalis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,b.1,b,1,1,C.canadensis,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,b.4,b,4,1,C.canadensis,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,b.6,b,6,0,H.matronalis,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_M_2_Cc.Hm,6,M,2,inter,Cc.Hm,c.1,c,1,0,H.matronalis,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,inter,,b.3,b,3,?,?,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
